Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
2.0162 0.4057 0.2063 0.8275 0.3153 1.1807 0.0786 -0.9788 -0.9430 -1.1483 0.6839 0.6805 -0.4000 1.2855 -0.8816 0.0325 0.0880 -0.2374 -1.0654 1.6895 -0.4036 -0.3241 -0.2563 0.2394 0.6853 1.1258 0.3099 0.7913 0.2306 2.1952 0.1501 0.8852 -0.2919 0.3150 -0.7086 0.0853 -0.3221 -0.6116 -0.0591 0.1126 0.2085 0.8440 0.4398 0.5221 -0.9341 -0.9152 0.3558 0.7240 1.1648 1.9626 -0.0675 -0.1497 1.6591 -0.1291 1.0989 1.6557 0.4775 1.2860 -0.4086 -0.2104 -0.6814 -0.3052 -1.4809 -0.9292
2.0927 0.6716 0.6998 1.0323 0.5039 0.9919 -0.1720 -1.1719 -0.8764 -1.0978 0.6090 0.6303 -0.8673 1.2260 -0.8734 0.1409 0.2182 -0.4958 -1.3947 1.3149 -0.2075 -0.4270 -0.3476 -0.0516 0.7205 1.1323 0.1654 0.6934 0.4480 2.2766 0.3111 0.8786 -0.0023 0.3854 -0.6425 -0.1914 -0.5611 -0.9203 0.1477 0.4424 0.5066 0.8013 0.3560 0.2585 -1.0752 -0.9861 0.7235 0.9896 1.3612 1.9896 -0.2161 -0.1979 1.4989 -0.3110 1.1788 1.5958 0.4516 1.1933 -0.3509 -0.0831 -0.4008 -0.5523 -1.6707 -0.9381
2.0373 0.9638 1.1866 1.1706 0.6624 0.7670 -0.3853 -1.4091 -0.7116 -1.0857 0.5789 0.5919 -1.2867 1.2162 -0.7891 0.2077 0.3983 -0.7621 -1.7285 0.9020 -0.0021 -0.5057 -0.4463 -0.3742 0.7312 1.1636 0.0368 0.5382 0.6912 2.2212 0.4239 0.8695 0.3213 0.4755 -0.5809 -0.4836 -0.7746 -1.2408 0.4274 0.7763 0.7755 0.7498 0.2805 -0.0321 -1.1631 -1.1024 1.1623 1.2303 1.5211 1.8683 -0.2982 -0.2990 1.2944 -0.4049 1.2135 1.5418 0.3843 1.1374 -0.1986 -0.0106 -0.0220 -0.8035 -1.8334 -0.9349
1.8503 1.2197 1.6057 1.2218 0.7887 0.5332 -0.5471 -1.6553 -0.5007 -1.0823 0.5983 0.5639 -1.6423 1.2033 -0.6217 0.2371 0.6006 -1.0061 -2.0360 0.4844 0.2009 -0.5578 -0.5322 -0.6919 0.7222 1.2036 -0.0627 0.3518 0.9079 1.9971 0.5234 0.8587 0.6425 0.5658 -0.5148 -0.7608 -0.9388 -1.5382 0.7395 1.0708 1.0022 0.6868 0.2281 -0.3119 -1.2006 -1.2378 1.5557 1.3983 1.6532 1.6216 -0.3098 -0.4244 1.0827 -0.4053 1.2024 1.4704 0.2911 1.1161 0.0228 0.0254 0.3950 -1.0306 -1.9584 -0.9291
1.5645 1.3839 1.9001 1.1915 0.8843 0.3248 -0.6561 -1.8665 -0.3237 -1.0510 0.6461 0.5328 -1.8995 1.2089 -0.3869 0.2431 0.7939 -1.1989 -2.2851 0.1309 0.3885 -0.5807 -0.5868 -0.9649 0.6993 1.2308 -0.1307 0.1720 1.0486 1.5787 0.6462 0.8412 0.9243 0.6430 -0.4366 -0.9894 -1.0379 -1.7771 1.0325 1.2845 1.1789 0.6174 0.2051 -0.5384 -1.2058 -1.3563 1.8056 1.4655 1.7551 1.3055 -0.2658 -0.5376 0.8935 -0.3397 1.1547 1.3617 0.1926 1.1268 0.2544 0.0515 0.7511 -1.2078 -2.0415 -0.9331
1.2281 1.4193 2.0298 1.1019 0.9486 0.1728 -0.7180 -2.0026 -0.2362 -0.9702 0.6892 0.4783 -1.9857 1.2686 -0.1123 0.2399 0.9476 -1.3203 -2.4457 -0.0754 0.5460 -0.5733 -0.5981 -1.1595 0.6623 1.2266 -0.1678 0.0335 1.0765 0.9919 0.8068 0.8105 1.1320 0.6989 -0.3446 -1.1410 -1.0642 -1.9293 1.2566 1.3790 1.2984 0.5504 0.2075 -0.6767 -1.1942 -1.4237 1.8620 1.4246 1.8042 0.9797 -0.1873 -0.6079 0.7392 -0.2644 1.0824 1.2079 0.1227 1.1580 0.4408 0.0849 0.9416 -1.3179 -2.0804 -0.9469
0.8884 1.3154 1.9843 0.9798 0.9780 0.0972 -0.7394 -2.0397 -0.2438 -0.8440 0.7044 0.3801 -1.8061 1.3541 0.1726 0.2335 1.0410 -1.3598 -2.4967 -0.0784 0.6616 -0.5369 -0.5621 -1.2538 0.6140 1.1797 -0.1727 -0.0435 0.9753 0.3477 0.9874 0.7631 1.2419 0.7299 -0.2427 -1.1982 -1.0199 -1.9785 1.3791 1.3244 1.3537 0.4931 0.2233 -0.7095 -1.1702 -1.4190 1.7266 1.2836 1.7667 0.6899 -0.0927 -0.6221 0.6206 -0.2392 0.9975 1.0194 0.1198 1.1838 0.5556 0.1222 0.9050 -1.3541 -2.0725 -0.9531
0.5883 1.0882 1.7867 0.8496 0.9688 0.1021 -0.7264 -1.9747 -0.3156 -0.6970 0.6904 0.2220 -1.2961 1.3642 0.4396 0.2194 1.0685 -1.3151 -2.4314 0.1111 0.7332 -0.4732 -0.4836 -1.2394 0.5701 1.0862 -0.1435 -0.0572 0.7548 -0.2088 1.1408 0.7021 1.2497 0.7388 -0.1380 -1.1574 -0.9187 -1.9229 1.3934 1.1140 1.3418 0.4493 0.2361 -0.6417 -1.1334 -1.3413 1.4456 1.0639 1.6164 0.4682 0.0020 -0.5869 0.5408 -0.2953 0.9106 0.8242 0.2027 1.1713 0.6019 0.1443 0.6611 -1.3186 -2.0168 -0.9284
0.3696 0.7744 1.4859 0.7330 0.9187 0.1765 -0.6895 -1.8241 -0.4131 -0.5581 0.6620 -0.0034 -0.4829 1.1954 0.6607 0.1883 1.0399 -1.1894 -2.2604 0.4084 0.7695 -0.3831 -0.3753 -1.1222 0.5500 0.9505 -0.0846 -0.0201 0.4465 -0.6005 1.2135 0.6347 1.1731 0.7348 -0.0378 -1.0284 -0.7840 -1.7739 1.3143 0.7757 1.2674 0.4210 0.2294 -0.4960 -1.0870 -1.2063 1.1000 0.8014 1.3497 0.3377 0.0771 -0.5216 0.5106 -0.4229 0.8288 0.6536 0.3530 1.0938 0.5948 0.1325 0.3062 -1.2182 -1.9178 -0.8589
0.2691 0.4255 1.1432 0.6507 0.8286 0.2981 -0.6452 -1.6171 -0.5094 -0.4468 0.6357 -0.2867 0.4958 0.8198 0.8083 0.1333 0.9769 -0.9907 -2.0079 0.6929 0.7858 -0.2660 -0.2533 -0.9197 0.5599 0.7871 -0.0102 0.0473 0.0961 -0.8536 1.1737 0.5581 1.0461 0.7318 0.0511 -0.8297 -0.6418 -1.5514 1.1638 0.3670 1.1448 0.4122 0.1907 -0.3047 -1.0402 -1.0377 0.7852 0.5419 0.9883 0.3080 0.1078 -0.4498 0.5417 -0.5877 0.7545 0.5203 0.5243 0.9374 0.5442 0.0789 -0.0369 -1.0600 -1.7842 -0.7448
