Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
2.5006 0.3188 0.3842 0.6857 -1.6879 0.7006 -0.4794 1.2561 -0.6763 -0.0942 -0.9031 -0.8092 -1.5393 0.2886 -0.7480 0.4814 -0.7865 0.0646 0.4674 -1.9321 -0.5309 -0.2341 0.5314 0.9659 0.2990 -1.4185 0.0642 1.4033 -0.5639 -0.9520 0.8890 0.0464 -0.4110 -0.4940 -0.6051 0.5918 0.5933 0.9764 -0.2729 -0.7125 -0.2562 0.7729 -0.6002 0.8787 -0.0043 0.7668 -0.5914 0.3713 -0.8092 0.8547 0.7154 0.1863 -0.4312 -0.8217 -0.9756 0.3774 -1.8454 0.0749 -0.5331 -0.2654 0.7648 0.1900 0.3184 0.0090
2.7191 1.0095 0.7908 0.5936 -1.3535 0.7142 -0.5438 1.0730 -0.9942 -0.5930 -0.7822 -0.6730 -0.6411 1.1443 -0.8288 0.2697 -0.5718 0.2656 0.4342 -1.9081 -0.2218 -0.1007 0.6688 0.9510 0.5289 -1.3184 0.1783 1.4023 -0.3936 -0.9168 0.6969 -0.0838 -0.1014 -0.3473 -0.3433 0.7028 0.6192 0.9192 -0.2116 -0.6806 0.0633 0.6397 -0.3232 0.8806 -0.2362 0.4378 -0.3613 0.2964 -0.6437 0.5953 0.5220 -0.0773 -0.2474 -0.7790 -0.5661 0.6775 -1.2158 0.2269 -0.8324 -0.6479 0.7376 0.2733 0.1678 -0.4031
2.9581 1.6967 1.1426 0.4931 -0.9935 0.6894 -0.6178 0.8241 -1.2871 -1.0207 -0.5686 -0.5227 0.2573 1.6630 -0.9453 0.0531 -0.3261 0.4788 0.3700 -1.8545 0.1355 0.0621 0.8156 0.9190 0.7852 -1.1703 0.2819 1.3153 -0.2692 -0.8983 0.4910 -0.1719 0.2128 -0.1737 -0.0393 0.8210 0.6260 0.8215 -0.1255 -0.5550 0.4102 0.5172 -0.0440 0.8438 -0.4812 0.0758 -0.0818 0.2310 -0.4484 0.3234 0.2819 -0.3735 -0.0415 -0.7430 -0.1362 0.7648 -0.5746 0.3801 -1.1457 -1.0058 0.7578 0.3484 0.0004 -0.7490
3.2070 2.3743 1.4388 0.4145 -0.6359 0.6575 -0.6964 0.5214 -1.5391 -1.3384 -0.2802 -0.3856 1.0976 1.8252 -1.1092 -0.1552 -0.0547 0.6980 0.2771 -1.7468 0.5222 0.2539 0.9666 0.8775 1.0364 -1.0226 0.3455 1.1429 -0.1947 -0.8868 0.2590 -0.2090 0.5298 0.0322 0.2931 0.9492 0.6136 0.6916 0.0044 -0.3628 0.7669 0.4518 0.2143 0.7817 -0.7344 -0.2960 0.2165 0.1463 -0.2527 0.1121 0.0016 -0.6930 0.1900 -0.7048 0.2654 0.6403 -0.0075 0.4750 -1.4488 -1.3022 0.8012 0.4171 -0.1784 -1.0012
3.4261 3.0140 1.6700 0.3524 -0.3039 0.6474 -0.7741 0.1847 -1.7424 -1.5280 0.0552 -0.2739 1.7886 1.7167 -1.3198 -0.3395 0.2285 0.9154 0.1623 -1.5316 0.9124 0.4666 1.1178 0.8330 1.2561 -0.8876 0.3507 0.9088 -0.1528 -0.8832 0.0013 -0.2030 0.8386 0.2559 0.6368 1.0909 0.5902 0.5422 0.1747 -0.1513 1.1133 0.4615 0.4369 0.7124 -0.9841 -0.6542 0.4932 0.0326 -0.0693 0.0035 -0.2996 -1.0132 0.4281 -0.6530 0.6079 0.3584 0.4176 0.4866 -1.7186 -1.5129 0.7938 0.4855 -0.3601 -1.1472
3.5639 3.5734 1.8193 0.2759 -0.0123 0.6622 -0.8447 -0.1627 -1.8895 -1.5943 0.4023 -0.1817 2.2305 1.4539 -1.5534 -0.4845 0.5007 1.1190 0.0338 -1.1680 1.2756 0.6800 1.2619 0.7848 1.4340 -0.7572 0.2971 0.6493 -0.1154 -0.8859 -0.2565 -0.1726 1.1180 0.4660 0.9692 1.2407 0.5664 0.3826 0.3638 0.0418 1.4306 0.5264 0.6150 0.6457 -1.2123 -0.9778 0.7131 -0.0910 0.1100 -0.0194 -0.5898 -1.3063 0.6366 -0.5772 0.8735 0.0100 0.6618 0.4415 -1.9303 -1.6290 0.6702 0.5558 -0.5347 -1.1912
3.5845 4.0178 1.8752 0.1534 0.2302 0.6761 -0.9009 -0.4988 -1.9742 -1.5651 0.7256 -0.0937 2.3692 1.1078 -1.7636 -0.5805 0.7367 1.2946 -0.1002 -0.6638 1.5825 0.8665 1.3899 0.7259 1.5766 -0.6319 0.2024 0.3996 -0.0513 -0.8778 -0.4659 -0.1374 1.3469 0.6288 1.2642 1.3815 0.5484 0.2147 0.5458 0.2012 1.7060 0.6017 0.7416 0.5769 -1.4002 -1.2533 0.8584 -0.1914 0.3021 -0.0116 -0.8313 -1.5502 0.7808 -0.4734 1.0521 -0.3109 0.7299 0.3945 -2.0583 -1.6575 0.4237 0.6225 -0.6954 -1.1575
3.4796 4.3341 1.8414 -0.0242 0.4135 0.6551 -0.9369 -0.8054 -1.9961 -1.4821 0.9962 0.0041 2.2339 0.6964 -1.8955 -0.6304 0.9172 1.4296 -0.2337 -0.0822 1.8109 1.0032 1.4917 0.6500 1.6920 -0.5276 0.0951 0.1816 0.0658 -0.8349 -0.5754 -0.1133 1.5114 0.7246 1.4979 1.4910 0.5353 0.0372 0.6992 0.3300 1.9321 0.6456 0.8108 0.4928 -1.5340 -1.4754 0.9303 -0.2393 0.5126 -0.0124 -0.9918 -1.7363 0.8428 -0.3440 1.1428 -0.5344 0.6729 0.3809 -2.0832 -1.6175 0.1136 0.6741 -0.8407 -1.0862
3.2660 4.5295 1.7321 -0.2353 0.5223 0.5816 -0.9518 -1.0710 -1.9614 -1.3879 1.1951 0.1183 1.9342 0.2414 -1.9032 -0.6532 1.0329 1.5140 -0.3631 0.4793 1.9453 1.0809 1.5569 0.5577 1.7736 -0.4581 0.0037 -0.0006 0.2446 -0.7430 -0.5501 -0.1126 1.6049 0.7553 1.6512 1.5514 0.5197 -0.1488 0.8105 0.4400 2.0988 0.6415 0.8180 0.3823 -1.6063 -1.6455 0.9428 -0.2158 0.7227 -0.0124 -1.0489 -1.8705 0.8255 -0.1929 1.1595 -0.6269 0.5750 0.3882 -1.9970 -1.5367 -0.1715 0.6973 -0.9724 -1.0175
2.9796 4.6266 1.5621 -0.4367 0.5392 0.4626 -0.9493 -1.2904 -1.8775 -1.3174 1.3161 0.2473 1.6231 -0.1787 -1.7589 -0.6784 1.0853 1.5400 -0.4871 0.9183 1.9750 1.1040 1.5747 0.4557 1.7982 -0.4221 -0.0475 -0.1555 0.4669 -0.6070 -0.3780 -0.1448 1.6235 0.7391 1.7112 1.5542 0.4917 -0.3375 0.8760 0.5464 2.1899 0.6004 0.7637 0.2424 -1.6153 -1.7687 0.9169 -0.1132 0.8946 0.0263 -0.9902 -1.9652 0.7513 -0.0211 1.1292 -0.5919 0.5265 0.3724 -1.8036 -1.4490 -0.3561 0.6813 -1.0916 -0.9789
